Idcar_200m,I_est_200,Idcar_1km,I_est_1km,Idcar_nat,Groupe,Ind,Men_1ind,Men_5ind,Men_prop,Men_fmp,Ind_snv,Men_surf,Men_coll,Men_mais,Log_av45,Log_45_70,Log_70_90,Log_ap90,Log_inc,Log_soc,Ind_0_3,Ind_4_5,Ind_6_10,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_55_64,Ind_65_79,Ind_80p,Ind_inc,Men_pauv,Men,lcog_geo
CRS5490RES200mN1592600E728800,1,CRS5490RES1000mN1592000E728000,1,CRS5490RES4000mN1592000E728000,174380,1,0.2,0.1,0.2,0,19527.6,43.8,0,0.4,0,0.1,0,0.3,0,0,0,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0,0,0.1,0.4,97226
CRS5490RES200mN1594200E728800,1,CRS5490RES1000mN1594000E728000,1,CRS5490RES4000mN1592000E728000,174380,6,1.4,0.4,1.2,0,117165.8,262.8,0,2.6,0.2,0.4,0.2,1.8,0,0,0.2,0,0.6,0.8,0.2,0.6,1.8,1,0.8,0,0,0.4,2.6,97226
CRS5490RES200mN1594400E729600,1,CRS5490RES1000mN1594000E729000,1,CRS5490RES4000mN1592000E728000,174380,5,1.2,0.3,1,0,97638.2,219,0,2.2,0.2,0.3,0.2,1.5,0,0,0.2,0,0.5,0.6,0.2,0.5,1.5,0.8,0.7,0,0,0.3,2.2,97226
CRS5490RES200mN1594600E730000,1,CRS5490RES1000mN1594000E730000,1,CRS5490RES4000mN1592000E728000,174380,1,0.2,0.1,0.2,0,19527.6,43.8,0,0.4,0,0.1,0,0.3,0,0,0,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0,0,0.1,0.4,97226
CRS5490RES200mN1595400E728800,1,CRS5490RES1000mN1595000E728000,1,CRS5490RES4000mN1592000E728000,174380,3,0.7,0.2,0.6,0,58582.9,131.4,0,1.3,0.1,0.2,0.1,0.9,0,0,0.1,0,0.3,0.4,0.1,0.3,0.9,0.5,0.4,0,0,0.2,1.3,97226
CRS5490RES200mN1595600E729200,1,CRS5490RES1000mN1595000E729000,1,CRS5490RES4000mN1592000E728000,174380,4,0.9,0.3,0.8,0,78110.5,175.2,0,1.7,0.1,0.3,0.1,1.2,0,0,0.1,0,0.4,0.5,0.2,0.4,1.2,0.7,0.5,0,0,0.3,1.7,97226
CRS5490RES200mN1595600E730400,1,CRS5490RES1000mN1595000E730000,1,CRS5490RES4000mN1592000E728000,174380,1,0.2,0.1,0.2,0,19527.6,43.8,0,0.4,0,0.1,0,0.3,0,0,0,0,0.1,0.1,0.1,0.1,0.3,0.2,0.1,0,0,0.1,0.4,97226
CRS5490RES200mN1595800E729000,1,CRS5490RES1000mN1595000E729000,1,CRS5490RES4000mN1592000E728000,174380,2,0.5,0.1,0.4,0,39055.3,87.6,0,0.9,0.1,0.1,0.1,0.6,0,0,0.1,0,0.2,0.2,0.1,0.2,0.6,0.3,0.3,0,0,0.1,0.9,97226
CRS5490RES200mN1595800E729200,1,CRS5490RES1000mN1595000E729000,1,CRS5490RES4000mN1592000E728000,174380,7,1.6,0.5,1.4,0,136693.4,306.6,0,3,0.2,0.5,0.2,2.1,0,0,0.2,0,0.7,0.9,0.2,0.7,2.1,1.2,1,0,0,0.5,3,97226
CRS5490RES200mN1596000E728000,0,CRS5490RES1000mN1596000E728000,0,CRS5490RES1000mN1596000E728000,1016974,17,7,0,10,0,429309.1,261.8,12,0,0,0,4,7,1,0,0,0,0,0,0,1,3,3,10,0,0,3,12,97226
CRS5490RES200mN1596200E728000,0,CRS5490RES1000mN1596000E728000,0,CRS5490RES1000mN1596000E728000,1016981,76,15,3,9,9,1232043.8,2559,23,10,0,2,2,29,0,21,3,1,11.5,10.5,7,8,15,10,10,0,0,14,33,97226
CRS5490RES200mN1596200E728200,0,CRS5490RES1000mN1596000E728000,0,CRS5490RES1000mN1596000E728000,1016983,89,17,2,14,11,1555427.5,2401,39,3,0,0,1,41,0,23,2,3,9,12,6,11,24,6,14,2,0,10,42,97226
CRS5490RES200mN1596200E730400,1,CRS5490RES1000mN1596000E730000,1,CRS5490RES2000mN1596000E730000,398118,4,0.7,0.1,1.4,0.3,71298.1,216.9,0,1.6,0,0.1,0.4,1.1,0,0,0,0,0.2,0.2,0.3,0.4,0.7,0.7,1.2,0.3,0,0.7,1.6,97226
CRS5490RES200mN1596200E733400,1,CRS5490RES1000mN1596000E733000,1,CRS5490RES4000mN1596000E732000,398130,3,0.4,0.1,1,0.1,52127.3,108.4,0.1,1.1,0,0.1,0.3,0.7,0.1,0,0,0,0.1,0.3,0.3,0.3,0.6,0.5,0.7,0.2,0,0.4,1.2,97226
CRS5490RES200mN1596400E728000,0,CRS5490RES1000mN1596000E728000,0,CRS5490RES1000mN1596000E728000,1016977,48,7,2,17,4,636792.8,1388,2,18,0,4,3,13,0,0,0,1,1,6,4,7,8,13,5,3,0,10,20,97226
CRS5490RES200mN1596400E728200,0,CRS5490RES1000mN1596000E728000,0,CRS5490RES1000mN1596000E728000,1016978,42,9,0,11,4,776636.6,1728.8,12,9,1,2,1,16,1,5,0,0,2,2,4,6,8,13,4,3,0,5,21,97226
CRS5490RES200mN1596400E728400,0,CRS5490RES1000mN1596000E728000,0,CRS5490RES1000mN1596000E728000,1016976,37,5,1,13,0,619653.8,1444,4,13,0,0,6,11,0,0,1,1,0,2,0,4,5,7,15,2,0,8,17,97226
CRS5490RES200mN1596400E728600,1,CRS5490RES1000mN1596000E728000,0,CRS5490RES1000mN1596000E728000,1016973,5,1.7,0,1.3,0.6,111708.5,193.8,1.6,1.3,0.1,0.4,0.2,1.6,0.6,0,0,0,0.1,0.6,0.4,0.4,1.9,0.9,0.6,0.1,0,0.4,2.9,97226
CRS5490RES200mN1596400E728800,1,CRS5490RES1000mN1596000E728000,0,CRS5490RES1000mN1596000E728000,1016973,1,0.3,0,0.3,0.1,22341.7,38.8,0.3,0.3,0,0.1,0.1,0.3,0.1,0,0,0,0,0.1,0.1,0.1,0.4,0.2,0.1,0,0,0.1,0.6,97226
CRS5490RES200mN1596400E729000,1,CRS5490RES1000mN1596000E729000,0,CRS5490RES1000mN1596000E729000,1016965,12,3,0,2,1.2,234480.3,430.2,4.2,2,0,0,0,6.2,0,0,0.2,0.2,0.7,1.7,0.3,2,2.3,1.3,3.3,0,0,2,6.2,97226
